"Timestamp","¿En qué fecha realizó los contactos?","Coloque la sede a la pertenecen los alumnos contactados:","Coloque la categoría a la pertenecen los alumnos contactados:","¿Realizó llamadas?","Cantidad de llamadas realizadas (sólo colocar el número de llamadas realizadas):","Cantidad de llamadas efectivas (sólo colocar el número de llamadas efectivas, si ninguna fue efectiva colocar 0):","¿Envío mensajes de contacto?","Cantidad de mensajes  enviados (colocar el número total de mensajes que envío para esta categoría):","Cantidad de mensajes que obtuvieron respuesta (colocar el número de respuestas que obtuvo de sus mensajes enviados):","¿Envío trabajos (entrenamientos)?","¿Cuántos ejercicios diferentes envío?","Que usted sepa, ¿cuántos de sus alumnos de esta categoría recibieron la unidad de entrenamiento?","Según usted, ¿cuántos de sus alumnos de esta categoría realizaron los trabajos?","Si tiene algún comentario o sugerencia escríbalo aquí:"
"2020/07/24 2:35:53 PM CDT","2020-07-24","Chácara","Intermedia","Sí","15","13","Sí","15","13","Sí","4","5","5",""
"2020/07/24 2:39:14 PM CDT","2020-07-24","Campo Marte","Intermedia","Sí","15","7","Sí","15","2","No","","","",""
"2020/07/24 2:42:21 PM CDT","2020-07-24","Capitalinos B-EMEFUT","Sub-18","Sí","20","18","Sí","20","18","Sí","5","5","5","Se envió a los alumnos informacion por medio de teletrabajo,llamadas,mensajes por wat shap y videos de entrenamiento,así como llamadas a los padres de familia,seguimiento por medio de enlaces y link. Todo en base a la planificación según Microciclo de actividades deportivas."
"2020/07/24 2:45:05 PM CDT","2020-07-24","Roosevelt","Intermedia","No","","","Sí","15","15","Sí","4","4","4",""
"2020/07/24 2:45:38 PM CDT","2020-07-24","Capitalinos B-EMEFUT","Equipo Mayor","No","","","Sí","20","20","Sí","4","5","5",""
"2020/07/24 2:46:55 PM CDT","2020-07-23","Lourdes","Infantil","Sí","5","5","Sí","10","8","Sí","2","5","5",""
"2020/07/24 2:47:33 PM CDT","2020-07-23","Lourdes","Intermedia","No","","","Sí","15","6","Sí","2","4","4",""
"2020/07/24 2:48:11 PM CDT","2020-07-23","San Francisco de Asís","Moscos","Sí","6","5","Sí","9","9","Sí","1","5","5",""
"2020/07/24 3:01:16 PM CDT","2020-07-23","Paraiso 2","Intermedia","No","","","Sí","14","5","Sí","2","4","2",""
"2020/07/24 3:02:20 PM CDT","2020-07-24","Paraiso 2","Intermedia","Sí","12","12","No","","","Sí","3","5","5","Entrenamiento a distancia "
"2020/07/24 3:19:52 PM CDT","2020-07-24","Paraiso 2","Juvenil","No","","","Sí","8","2","Sí","1","4","2",""
"2020/07/24 3:20:19 PM CDT","2020-07-24","Castillo Lara","Moscos","No","","","Sí","12","08","Sí","01","5","4","Ninguno"
"2020/07/24 3:22:45 PM CDT","2020-07-24","Chácara","Moscos","No","","","Sí","14","14","Sí","5","5","5",""
"2020/07/24 3:23:35 PM CDT","2020-07-24","Bethania","Infantil","No","","","Sí","20","12","Sí","3","5","3",""
"2020/07/24 3:26:30 PM CDT","2020-07-24","Paraiso 2","Moscos","No","","","Sí","30","9","Sí","1","5","2",""
"2020/07/24 3:35:08 PM CDT","2020-07-24","Milles Rock","Infantil","No","","","Sí","15","8","Sí","1","5","3",""
